State;Year;C_CE_I;C_CE_I_R;Total Current Assets;Current Liabilities;Noncurrent Liabilities;Unrestricted Net Assets;Restricted Net Assets;Total Net Assets;Total Assets;Total Liabilities;Total Taxes;Total Revenue;Total Expenses;NonCurrent Liability;Change in Net Assets;Population;UAAL pension (risk-free);UAAL OPEB;Primary gov debt;Personal income;1.Cash_ratio;2.quick_ratio;3.current_ratio;4.op_ratio;5. surplus_percap;6.net_asst_ratio;7.long_term_liab;8.lt_percapita;9.tax_income_ratio;10.rev_income_ratio;11.exp_income_ratio;12. pension_income_ratio;13. opeb_income_ratio;cashrank;Lrrank;budgetrank;servicelvlrank;trustrank;overallrank
Alabama;2006;8833844.047619049;9839963.095238095;10964797.61904762;1916890.4761904762;1892573.8095238097;788479.7619047619;7662677.3809523815;28404151.19047619;32213615.476190478;3809464.285714286;8489503571.428572;21376869047.61905;19539717857.142857;1892573809.5238097;1837296428.5714285;4628981;27799482576.728245;18614526539.285713;1585221428.5714285;172564628571.4286;4.608423985273769;5.1332943730794165;5.720096038475011;1.0940213775811818;396.91163747948605;0.2623473651724535;0.05875074193154869;408.8532248293544;0.04919608173302193;0.12387746680525932;0.11323130365070677;0.16109606474319493;0.10786988442177026;2;5;15;15;37;3
Alaska;2006;48256838.0952381;49666750;60320527.38095238;13015898.80952381;2009314.2857142857;9380565.476190476;37261665.47619048;52900148.80952381;67925361.90476191;15025213.095238095;2878002380.952381;13211904761.904762;7865476190.476191;2009314285.7142859;5346976190.476191;675302;12263807311.852743;14532727066.666668;1870745238.0952382;32836234523.809525;3.707530213735857;3.8158524990727916;4.634372797736834;1.6797336158619647;7917.903679355593;0.6866688618866394;0.029581208393582706;2975.430675037666;0.08764715024999423;0.40235748567104496;0.23953648475658623;0.37348397249874277;0.4425820218858834;4;2;1;50;50;1
Arizona;2006;5963508.333333334;7059144.047619048;7771342.857142857;3211195.2380952383;7415246.428571429;1173255.9523809524;5906336.904761905;23773075;34399516.66666667;10626441.666666668;16250119047.61905;31650572619.04762;27939922619.04762;7415246428.571429;3705803571.4285717;6029141;28619743774.655766;845949548.8095238;6763627380.952381;249096103571.4286;1.8570992702613327;2.198291764971061;2.420077971264223;1.1328081702513493;614.6486823626403;0.20580500958035333;0.21556251793958622;1229.900980682228;0.06523634378311063;0.12706169291793754;0.11216523349204383;0.11489438559784225;0.0033960770027337936;20;19;7;24;19;22
Arkansas;2006;4186876.1904761908;5558566.666666667;5779994.047619048;1517469.0476190476;4475565.476190477;3022928.5714285714;1847532.142857143;15755885.714285715;21748920.23809524;5993034.523809524;7651740476.190476;16462564285.714287;16101307142.857143;4475565476.190476;1115908333.3333335;2821761;15633940302.547964;0;2919342857.142857;98453957142.85715;2.759118017626468;3.6630511016934526;3.808969979775221;1.0224365102567095;395.46521953253074;0.2239403455880377;0.20578334129669162;1586.0894938268962;0.07771897339878138;0.16721079338463796;0.16354149299955584;0.15879443301464302;0;5;23;34;42;28;24
California;2006;42340897.61904762;55095108.333333336;70520009.52380952;43461846.42857143;113661039.28571428;-62987551.190476194;20421600;57800170.23809524;214923055.95238096;157122885.71428573;119596428571.42857;220916666666.6667;217251519047.61905;113661039285.7143;5114020238.095239;36021202;172978328393.56827;48564047619.04762;100835842857.14287;1815380502380.9524;0.9742084402381278;1.267666076356901;1.6225727924308873;1.0168705270053566;141.97250380748645;-0.19805204705402682;0.5288452594443724;3155.3927402454337;0.06587953787901353;0.12169165988999255;0.11967271806802156;0.09528488830121261;0.0267514427721096;43;46;42;25;15;41
Colorado;2006;4601195.238095238;6166602.3809523815;6722728.571428572;3323691.666666667;5915936.904761905;3293483.3333333335;3398819.0476190476;23262696.42857143;32502325;9239628.57142857;10010415476.190477;22118176190.476192;2024075e4;5915936904.761905;1860472619.047619;4720423;49754231835.662605;1229921428.5714285;5571590476.190476;225586479761.9048;1.3843628409460078;1.8553473063693877;2.0226691419215794;1.0927547739325958;394.1326061345814;0.2059022664056304;0.18201580670804027;1253.2641470397687;0.044375068429437656;0.098047437123983755;0.08972501375686653;0.2205550256743033;0.0054521061274130835;32;17;16;4;43;16
Connecticut;2006;4181245.2380952383;7341616.666666667;7558821.428571429;4188113.0952380956;22725136.904761907;-11741272.61904762;3811045.2380952383;-934361.9047619049;25978888.095238097;26913250;14113095238.095238;25978571428.57143;25278785714.285717;22725136904.761906;700821428.5714287;3517460;42447772641.535225;28442212442.857143;17899053571.428574;226922608333.33334;0.9983601548032058;1.7529652374989872;1.8048274382002352;1.0276827266228317;199.24076707949163;-0.3052566126725795;0.8747540241696257;6460.666760890502;0.062193429476908244;0.11448207659595881;0.11139826877519828;0.18705836740243367;0.1253388221286331;38;48;39;18;42;43
Delaware;2006;1427500;1721070.238095238;1898148.8095238097;1107364.2857142857;2664617.8571428573;1388103.5714285716;635609.5238095238;6620194.047619048;10392176.19047619;3771982.142857143;3794067857.142857;7092544047.619048;6723867857.142858;2664617857.142857;368676190.4761905;859268;3459404134.9701986;3660476190.4761906;2383544047.6190476;42291527380.952385;1.2890970193058162;1.5542042129208566;1.714114166414029;1.0548309690656013;429.0584433217465;0.1947342941599381;0.256406147115252;3101.0323404838273;0.08971224479472599;0.16770602734990006;0.1589885320663829;0.0817989878636607;0.08655341665727653;37;32;25;45;9;39
Florida;2006;44072660.71428572;54417532.14285714;54591883.333333336;22625786.904761907;35961397.61904762;-8271638.095238095;15040741.666666668;66740423.80952381;125327608.33333334;58587184.52380952;42044047619.04762;81611904761.90477;79320172619.04762;35961397619.04762;2191717857.142857;18166990;46465618230.952385;5326488095.238095;24566666666.666668;837798202380.9524;1.9478951560800752;2.4051111403070906;2.412817002260537;1.028892172913739;120.64287243747354;0.054011272228420844;0.28693915169434364;1979.4912431309547;0.05018397926799312;0.09741236556723393;0.09467694296028127;0.055461587407207344;0.0063577220386731095;19;38;41;6;4;12
Georgia;2006;10108282.142857144;15049723.80952381;15408803.571428573;7074801.19047619;8782394.047619049;1630295.238095238;4680103.571428572;24955498.80952381;40812694.04761905;15857195.238095239;19237610714.285713;42909790476.190475;41371958333.333336;8782394047.619047;1537832142.857143;9155813;32697140918.707333;18599646428.57143;9235036904.761906;377838192857.1429;1.4287726072733324;2.1272292187917783;2.1779839682521787;1.0371708810703821;167.9623800592195;0.15461853123836966;0.21518780498469445;959.215096203805;0.050914944751388004;0.1135665776710251;0.10949649642479549;0.0865374161131186;0.04922648578198071;26;20;37;12;10;21
